id;period;day;month;year;weekday
1;A NOITE;1;1;2010;friday
2;A NOITE;1;1;2016;friday
3;A NOITE;1;2;1974;friday
4;A NOITE;1;2;2013;friday
5;A NOITE;1;2;2019;friday
6;A NOITE;1;3;1985;friday
7;A NOITE;1;3;2013;friday
8;A NOITE;1;3;2019;friday
9;A NOITE;1;4;2011;friday
10;A NOITE;1;4;2016;friday
11;A NOITE;1;5;2009;friday
12;A NOITE;1;5;2015;friday
13;A NOITE;1;6;2012;friday
14;A NOITE;1;6;2018;friday
15;A NOITE;1;7;2011;friday
16;A NOITE;1;7;2016;friday
17;A NOITE;1;8;2014;friday
18;A NOITE;1;9;1989;friday
19;A NOITE;1;9;2017;friday
20;A NOITE;1;10;2010;friday
21;A NOITE;1;11;2002;friday
22;A NOITE;1;11;2013;friday
23;A NOITE;1;12;2017;friday
24;A NOITE;2;1;2015;friday
25;A NOITE;2;2;2018;friday
26;A NOITE;2;3;2001;friday
27;A NOITE;2;3;2012;friday
28;A NOITE;2;3;2018;friday
29;A NOITE;2;5;1969;friday
30;A NOITE;2;5;2014;friday
31;A NOITE;2;6;2017;friday
32;A NOITE;2;7;2010;friday
33;A NOITE;2;8;2013;friday
34;A NOITE;2;9;1994;friday
35;A NOITE;2;9;2011;friday
36;A NOITE;2;9;2016;friday
37;A NOITE;2;10;2015;friday
38;A NOITE;2;11;1990;friday
39;A NOITE;2;11;2012;friday
40;A NOITE;2;11;2018;friday
41;A NOITE;2;12;2011;friday
42;A NOITE;2;12;2016;friday
43;A NOITE;3;1;2014;friday
44;A NOITE;3;2;2012;friday
45;A NOITE;3;2;2017;friday
46;A NOITE;3;3;2017;friday
47;A NOITE;3;4;2015;friday
48;A NOITE;3;5;2013;friday
49;A NOITE;3;5;2019;friday
50;A NOITE;3;6;2011;friday
51;A NOITE;3;6;2016;friday
52;A NOITE;3;7;2015;friday
53;A NOITE;3;8;2001;friday
54;A NOITE;3;8;2012;friday
55;A NOITE;3;8;2018;friday
56;A NOITE;3;9;2010;friday
57;A NOITE;3;10;2008;friday
58;A NOITE;3;10;2014;friday
59;A NOITE;3;11;2017;friday
60;A NOITE;3;12;2010;friday
61;A NOITE;4;1;2013;friday
62;A NOITE;4;1;2019;friday
63;A NOITE;4;2;2011;friday
64;A NOITE;4;3;2011;friday
65;A NOITE;4;3;2016;friday
66;A NOITE;4;4;2014;friday
67;A NOITE;4;5;2012;friday
68;A NOITE;4;5;2018;friday
69;A NOITE;4;6;2010;friday
70;A NOITE;4;7;2014;friday
71;A NOITE;4;8;2017;friday
72;A NOITE;4;9;1981;friday
73;A NOITE;4;9;2015;friday
74;A NOITE;4;10;2013;friday
75;A NOITE;4;11;2011;friday
